size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,12831
50,RANDOM,BubbleSortPassPerItem,13201
50,RANDOM,BubbleSortPassPerItem,13027
50,RANDOM,BubbleSortPassPerItem,12722
50,RANDOM,BubbleSortPassPerItem,13550
50,RANDOM,BubbleSortPassPerItem,12261
50,RANDOM,BubbleSortPassPerItem,12568
50,RANDOM,BubbleSortPassPerItem,13472
50,RANDOM,BubbleSortPassPerItem,13118
50,RANDOM,BubbleSortPassPerItem,12500
50,RANDOM,BubbleSortPassPerItem,13494
50,RANDOM,BubbleSortPassPerItem,13215
50,RANDOM,BubbleSortPassPerItem,12776
50,RANDOM,BubbleSortPassPerItem,12966
50,RANDOM,BubbleSortPassPerItem,13922
50,RANDOM,BubbleSortPassPerItem,12909
50,RANDOM,BubbleSortPassPerItem,13143
50,RANDOM,BubbleSortPassPerItem,12887
50,RANDOM,BubbleSortPassPerItem,13138
50,RANDOM,BubbleSortPassPerItem,13616
50,RANDOM,BubbleSortPassPerItem,13772
50,RANDOM,BubbleSortPassPerItem,13400
50,RANDOM,BubbleSortPassPerItem,12890
50,RANDOM,BubbleSortPassPerItem,13349
50,RANDOM,BubbleSortPassPerItem,13144
50,RANDOM,BubbleSortPassPerItem,12816
50,RANDOM,BubbleSortPassPerItem,13216
50,RANDOM,BubbleSortPassPerItem,13243
50,RANDOM,BubbleSortPassPerItem,12570
50,RANDOM,BubbleSortPassPerItem,12976
50,RANDOM,BubbleSortPassPerItem,13186
50,RANDOM,BubbleSortPassPerItem,12929
50,RANDOM,BubbleSortPassPerItem,13060
50,RANDOM,BubbleSortPassPerItem,13304
50,RANDOM,BubbleSortPassPerItem,16858
50,RANDOM,BubbleSortPassPerItem,16397
50,RANDOM,BubbleSortPassPerItem,17102
50,RANDOM,BubbleSortPassPerItem,17300
50,RANDOM,BubbleSortPassPerItem,17393
50,RANDOM,BubbleSortPassPerItem,17735
50,RANDOM,BubbleSortPassPerItem,18841
50,RANDOM,BubbleSortPassPerItem,13574
50,RANDOM,BubbleSortPassPerItem,12499
50,RANDOM,BubbleSortPassPerItem,12297
50,RANDOM,BubbleSortPassPerItem,13068
50,RANDOM,BubbleSortPassPerItem,12868
50,RANDOM,BubbleSortPassPerItem,13003
50,RANDOM,BubbleSortPassPerItem,12754
50,RANDOM,BubbleSortPassPerItem,13193
50,RANDOM,BubbleSortPassPerItem,12797
50,RANDOM,BubbleSortPassPerItem,12795
50,RANDOM,BubbleSortPassPerItem,13302
50,RANDOM,BubbleSortPassPerItem,13144
50,RANDOM,BubbleSortPassPerItem,12371
50,RANDOM,BubbleSortPassPerItem,12701
50,RANDOM,BubbleSortPassPerItem,12746
50,RANDOM,BubbleSortPassPerItem,13275
50,RANDOM,BubbleSortPassPerItem,12869
50,RANDOM,BubbleSortPassPerItem,13335
50,RANDOM,BubbleSortPassPerItem,13210
50,RANDOM,BubbleSortPassPerItem,13038
50,RANDOM,BubbleSortPassPerItem,13299
50,RANDOM,BubbleSortPassPerItem,12958
50,RANDOM,BubbleSortPassPerItem,13379
50,RANDOM,BubbleSortPassPerItem,13156
50,RANDOM,BubbleSortPassPerItem,12821
50,RANDOM,BubbleSortPassPerItem,12981
50,RANDOM,BubbleSortPassPerItem,13474
50,RANDOM,BubbleSortPassPerItem,13513
