size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,27686
50,RANDOM,BubbleSortPassPerItem,28686
50,RANDOM,BubbleSortPassPerItem,28259
50,RANDOM,BubbleSortPassPerItem,28304
50,RANDOM,BubbleSortPassPerItem,28426
50,RANDOM,BubbleSortPassPerItem,28418
50,RANDOM,BubbleSortPassPerItem,29429
50,RANDOM,BubbleSortPassPerItem,28141
50,RANDOM,BubbleSortPassPerItem,28612
50,RANDOM,BubbleSortPassPerItem,28286
50,RANDOM,BubbleSortPassPerItem,28827
50,RANDOM,BubbleSortPassPerItem,29215
50,RANDOM,BubbleSortPassPerItem,28386
50,RANDOM,BubbleSortPassPerItem,29018
50,RANDOM,BubbleSortPassPerItem,28536
50,RANDOM,BubbleSortPassPerItem,29518
50,RANDOM,BubbleSortPassPerItem,28203
50,RANDOM,BubbleSortPassPerItem,28880
50,RANDOM,BubbleSortPassPerItem,27912
50,RANDOM,BubbleSortPassPerItem,29467
50,RANDOM,BubbleSortPassPerItem,27322
50,RANDOM,BubbleSortPassPerItem,29270
50,RANDOM,BubbleSortPassPerItem,28499
50,RANDOM,BubbleSortPassPerItem,28251
50,RANDOM,BubbleSortPassPerItem,28390
50,RANDOM,BubbleSortPassPerItem,28253
50,RANDOM,BubbleSortPassPerItem,29221
50,RANDOM,BubbleSortPassPerItem,27659
50,RANDOM,BubbleSortPassPerItem,27985
50,RANDOM,BubbleSortPassPerItem,29186
50,RANDOM,BubbleSortPassPerItem,28914
50,RANDOM,BubbleSortPassPerItem,28890
50,RANDOM,BubbleSortPassPerItem,29266
50,RANDOM,BubbleSortPassPerItem,28414
50,RANDOM,BubbleSortPassPerItem,27701
50,RANDOM,BubbleSortPassPerItem,28799
50,RANDOM,BubbleSortPassPerItem,29081
50,RANDOM,BubbleSortPassPerItem,27283
50,RANDOM,BubbleSortPassPerItem,28487
50,RANDOM,BubbleSortPassPerItem,28636
50,RANDOM,BubbleSortPassPerItem,29057
50,RANDOM,BubbleSortPassPerItem,28571
50,RANDOM,BubbleSortPassPerItem,28773
50,RANDOM,BubbleSortPassPerItem,28493
50,RANDOM,BubbleSortPassPerItem,28081
50,RANDOM,BubbleSortPassPerItem,27928
50,RANDOM,BubbleSortPassPerItem,27707
50,RANDOM,BubbleSortPassPerItem,28626
50,RANDOM,BubbleSortPassPerItem,29156
50,RANDOM,BubbleSortPassPerItem,28934
50,RANDOM,BubbleSortPassPerItem,27678
50,RANDOM,BubbleSortPassPerItem,29025
50,RANDOM,BubbleSortPassPerItem,28873
50,RANDOM,BubbleSortPassPerItem,29037
50,RANDOM,BubbleSortPassPerItem,27697
50,RANDOM,BubbleSortPassPerItem,27580
50,RANDOM,BubbleSortPassPerItem,29200
50,RANDOM,BubbleSortPassPerItem,28328
50,RANDOM,BubbleSortPassPerItem,27949
50,RANDOM,BubbleSortPassPerItem,28512
50,RANDOM,BubbleSortPassPerItem,29018
50,RANDOM,BubbleSortPassPerItem,28457
50,RANDOM,BubbleSortPassPerItem,27996
50,RANDOM,BubbleSortPassPerItem,28745
50,RANDOM,BubbleSortPassPerItem,28662
50,RANDOM,BubbleSortPassPerItem,28866
50,RANDOM,BubbleSortPassPerItem,28326
50,RANDOM,BubbleSortPassPerItem,28210
50,RANDOM,BubbleSortPassPerItem,28623
50,RANDOM,BubbleSortPassPerItem,28402
50,RANDOM,BubbleSortPassPerItem,27470
50,RANDOM,BubbleSortPassPerItem,28907
50,RANDOM,BubbleSortPassPerItem,28254
50,RANDOM,BubbleSortPassPerItem,28330
50,RANDOM,BubbleSortPassPerItem,28605
50,RANDOM,BubbleSortPassPerItem,29008
50,RANDOM,BubbleSortPassPerItem,28474
